id,tweet
45,allah ya tsare da gaba
46,mukam muna biyayya ga gwamnati duk abunda tace idan bawai yasaba mawa addinin islama bane muna masu biyayya yauwa
47,allahu akbar  allah ka kawo mana karshen wannan bala i
48,tsakani da allah in ba a yi hankali ba sai    sudan ta koma    libiya
49,kaduna sai ali nuhu
50,wallahi nima ganinki kawai nakeyi    my one and only actress
51,rahama kuyi ma allah ku saki soc season 3  i ve been waiting wallah
52,a sakkwato    43 c     allah ya kawo muna sauki
53,basuga komaiba           so happy
54,munyafe masa saboda shugaba ne shi mai girma allah yasa su cigaba da rikemana kasarmu najeriya allah ya daga najeriya
55,ilimi allah ya sakawa mallam
56,ameen thummer ameen my super hero  aminusaira yanxun kam ankammala azumi lfy allah yabamu ldan ibadunmu munajiran films din  labarina inamaka fatan alkhairi
57,gaskiya jam iyyar pdp tana da tunani mai kyau
58,dariyarki qara bani dariya take     murmushinki qara sani murmushi yake
59,ya yi daidai bai fadi karyaba sabi da ronaldo yakai dan kollon da za a koyi
60,lefinki iyawa queen
61,ga tukkan alamu basakkwata ce hahahahahhaha na dade ina neman amsar wannan tambayan sai yau  good job dorayi
62,ameen sum ameeeen
63,yaci ribar ciniki
64,malan a kullum salon sa da tsarin sa  yana zo mana da sabbin abubuwa  tabbas hausa film ba iya labarin soyayya ya tsaya ba  suna da gudummuwar da zasu iya badawa wajan matsalar tsaron kasar mu  a
65,episode yayi kyau amma zanso naga ferouskhan ya bayyana kodan ya koyawa mahmud hankali
66,allah yakawo mana dauke a jahata katsina da kasarmu saboda ma aiki sallallahu alaehi wassallam
67,a aa   amma munaso muje
68,allah ya barmu tare
69,ayya bruh  allahu ya zaba maka mafi alheri kaima  she dropped 5 laughing smiley for me   we done
70,subhanallah allah yakawomuna karshen wannan annobar akasarmu bakidaya
71,ma na kaza kenan soyayya
72,alhmdlh muyi farin ciki kamar yadda kuka kammala wannan shiri mae dogon xango lpy allah yabamu ikon kala lpy allah yasa muna cikin masu rayuwa kuma munawa kowa da yabada gudun muwa acikin wannan
73,hhhh apoki kafito wlh zamu take maka  batada matsala bata iya soba inta manne ma shikenan     abinci kyau zamuna ci a  sadauhome     shagali
74,kuyi subscribing na youtube channel namu mai suna ash multimedia domin sauraron littatafan hausa novels namu kala kala  mun gode
75,to allah yasa su zama mafi alkhari ga yan qasa
76,allah ya biya cin kai
77,yaudagobe akoi bambanci da yawa ba zai misaltu ba  shugabannin baya basu dauki komi abakin komi ba  sunayi ne domin suga sun kai kasar su ga tudun mun tsira suna yi ne domin suga sun kyautata ma
78,allah ya jikan mai martaba sarkin zazzau  ameen
79,allah ya gafarta mata yasa ta huta ameen
80,yaa allah kabawa abba gida gida nasara a kotun  oli don annabi muhammadu
81,allah yakarawa annabi daraja
82,the international  allah yaqara ka king
83,gaskiya ne malam aminu allah ya bada nasara
84,masha allah allah ya kawo mana karshen wannan annoba yasa wannan shine cikakken maganin covid 1   9   din ameen
85,file    allah yakawo mana sako
86,noma toshen arziki or noma rufin asiri
87,allah ubangiji ya saka masa tun anan duniya
88,allah ya kawo muna karshen yan bindiga a duniya baki dai ba  nigeriya ba kenan hum
89,wlhy kinfi kyau dakika rufe jikinki gaba daya  allah yasa kidore da haka
90,muna maka barka dazuwa    tabbayata itace mai yasa kake san zuwa gurin yan siyasa na kasa
91,allah yabasu zaman lfy aammenn kuma allah yanuna mna na yanbaya lfy aammenn  kamarmu
92,ai basa cin hanci gobnatin masu gaskiya ce
93,eh ba matsala xan iya aurenta sabida ba harum bane
94,may allah protect us  ya jikan musulmi
95,haka tace wai ita ma abin tausayi ce kowa ma abin tausayi ne wajen allah muna rokon allah yaganar damu wajen kaucewa daga rodanin wannan duniya
96,tare kuka yi kenan  masha allah
97,gaskia film dinnan zai kyau amman naso ace dani aciki da anga over acting
98,yes why not you kawai kiyi aurenki ki rufama kanki asiri
99,kedai akwai son abin kwarai
100,increase the volume sir  insha allah sai kukanmu yakai sai sun dauki matakai
101,allah yana tare dakai bulama
102,yes hkn malam aminu  so zamu hada karfi da karfe da kuma rokon allah ya kawo mana karshen end boko haram banditry end corruption in     jama a gaaa zabe n 2023 yana tunkaro mu mu kula da kanmu da
103,allah yakamana saukin rayuwa
104,in allah ya yadda babu abun da zai samu qaura  su ma sauran za su warke da ikon allah
105,allah ya gafarta musu yasa aljannatul firdaus itace makoma a garesu  sannan kuma shugabanni kuji tsoron allah wallahi sai allah ya tambayeku akan wannan nauyin daya dora muku
106,in sha aallah na kano ma zamu lashe
107,allah yah kwo mijin aure
108,allah yai mana maganin wannan annobar
109,hmhh  allah ya kiyaye
110,life is full of karma which i don t wish you fall victim  my prayers and hopes for you are for a second ki fahimci abinda mutane ke qoqarin nuna miki even though dayawa aren t following the islam
111,ameen thumma ameen   intamu tazo allah yasa mucika da imani
112,wow hajiya u look like sarauniya fa
113,i love everything about d movie  very educated  duniyata yau ta dawo sabuwa  kai ka shigo ka yoh aiki dole inyi maka sakayya
114,allah ya saka masu da gidan aljannah
115,masha allah  na taya ki murna hajiya  allah   ya ci gaba da yi maki albarka da kariya daga hannun makiyinki  ameen ya rabbi
116,nidai nayi kamen  yar  ki ta farko sis  insha allahu ko aljanna a vip kike sis  one love
117,allah ubangiji yajikansu da rahama allah ya kyauta gaba
118,anayi munajin dadin
119,to ai shikenan nidai nayi mubaya a
120,kina matukar birgu  ni fati
121,allah ya shiga tsakaninmu dashi    ai sabro kwazaba ne
122,oga yakasai barka da yamma ina maka fatan alheri allah ya taimaka
123,wai wannan wace irin kasane                 kai  allah kyauta
124,a nigeria komai zai iya faru ae  sabo da talakawa suna shan wahala kuma gashi likitoci suna son zuwa yajin aiki  ya allah ka gyara mana shuwaga ban nin mu
125,allah yataimaka allah yasa albarka acikin nemanku
126,allah yana ji kuma yana gani
127,aunty rahama ansha keyau
128,rahama and di ja beautiful combo
129,wayyo allahumma ameen oga sir
130,mai atamfa  sannu kyakyawa
131,allah ya maimai ta mana tare da lafiya   da zaman lafiya
132,alhamdulillah  bichi emirate muna tare da sarki aminu ado bayero  allah yai mana jagora
133,no sbd ni allah yadubeni da idanun rahma yaturomin ke
134,zakarar da allah ya nufa da chara koh ana haaa maza haaa mata sai yayi
135,ba a canzawa tuwo suna  har gobe kwankwaso mae gidanka ne eheeee
136,nakan qosa ya gama rahoto dan inji ya kira sunansa wallahi    one of my best from childhood
137,na so jin kirarin da fadawa zasu masa
138,maa sha allah  allah ya idar miki da nufinki na alkhairi
139,zulum allah yasaka maka da alkhairi   naji dadi da fadar gaskiya da kayi  hakika sai de suki gaskiya tunda wasu daga cikinsu dasu ake cutar da al umma kasarmu
140,allahu akbar  allahu akbar   allahu akbar    ina mai mika sakon ta aziyya ga ma mallakin wannan dattijon kunkuru  a hannu daya kuma ina mai mika sakon yabo da jin jina ga likitan da yayi masa aik
141,washa kintashi lfy
142,masha allah    allah ya bashi abunda yafi sarautar kano argue with ur keyboard
143,ba wanda yasan wannan hanyan sai allah   so just keep praying
144,da so samu ne kidai na film     kije kiyi aure
145,madallah da wannan nasara
146,allah ytaimakimai taimako king  of kannywood
147,subhanallah allah mun tuba ya allah karka kamamu da laifin da wasu wawayen cikinmu suka akata
148,masha allah alhamdulillah  allah ubangiji ya kaara mata daukaka da kariya
149,allah y basu ikon tattauna abin da zai amfane mu
150,wasikar masoya dauke take da sunki sunki na na kalaman soyayya masu matukar tasiri a zukatan masoya munyi tanadin su ne saboda ku a nan
151,ameen malan  kaga muma anan zanfara wlh matsalar tanadamunmu sosai kullun cikin daukar mutane akeyi domin yin garkuwa dasu  wasu kuma akashe  uhm allah dai yakawomana agaji amma wlh akwai mats
152,an fada mana wannan tun baya  saban jawabi muke so kayi mana yau idan kana hudu ba a masalaci
153,allah ina ro onka alfarman tsarkakan sunayenka kacigaba da kunyata shugabannin  asar faransa  da duk wani mai goyon bayan muzanci ga janabin habibinka
154,the queen rahama
155,allah ya tsawaita rayuwa musha kallo
156,yy kyau    haka yakamata dama
157,toh allah ya tsayar nan
158,ameeen  ya rabbb
159,yayi dai dai kinyi maganin yan kaudi
160,dakyau amma ashuka alheri a gonar don allah domin a girbi alheri allah sa mudace
161,muna goyan bayan ka
162,masha allah wannan haka yake kaga yadda ake aiki da abinda allah yace
163,kepa aunty rahama kainuwa dashen allah maqiya sai su mutu allah ya qara daukaka
164,ameen summah ameen   allah ya gafarta mishi yayi mishi rahma allah yasa yahuta
165,allah ya bi muna hakkin mu
166,uhmm nan gaba ma zaiyi abinda yafi haka tunda abokin donaltrump ne fa aminansa ne na kut da kut allah dai yajikan kashoggi ya bimasa hakkkinsa tun daga duniya
167,lallai karshe wannan gardama yazo baba ganduje ayi saukale kawai muna goyan baya
168,aifa allah yaimana bama nema agunsa
169,nasan zatayi dadi koh
170,allah yataimaka babban director
171,oga director   ba sai ka biya ni ba  a kaini umrah in sauka a 5star hotel sannan in huta a dubai  abu dhabi kafin in dawo kano  godiya nake  zan turo resume
172,allah mun godema   allah ka karama mana kishin yankinmu
173,allah ya dawo mna da sarki gda lapia
174,allah ya jikan wadanda suka rasa rayukansu acikin wannan mummunan al amari   ya kamata hukumomin da aka dourawa nauyin lura da gine gine su dinga shiga unguwan ni don duban lafiyan gidaje  ba sai
175,allah swt ya bata lpy
176,you are talented  allah yakara basira     labarinahausaseries
177,fatan alkairi zouwa ga zango ina jine dadi kalon fim kinka
178,muma muna alfahari daku  allah yasa kufi haka
179,ok hope xamu gnki
180,gaskiya ne kowa a rayuwan sa  yana son ya taimaki kansa  kuma ya taimaki wansu  allah ya taimake mu gaba daya
181,mai gaskiya sai allah bless you baban su buhari
182,same to you dear     shine har wata coco cola bottle takeson ta hada kanta dake      gaskiya ki haukata ta da hotuna
183,rahma fa kyakyawa ce   rashin wanka ne dama
184,allah yakiyaye asarar rai da dukiya
185,sarki allah ya kara kiyayi mana kai kuma allah ya kara baku hakurin rashin mahaifin ku
186,hahahahahahah allah ya kyauta
187,hmmm duk wanda yayi me kyau dae wa kansa yayi   allah yasa mu gyara gabaki daya allah kuma ya shiryemu
188,allah yajikansa yasa can tafiye masa nan
189,hahaha   mutanenmu kenan mahmud kayi wllh nimafa wllh zan iya hakan  yawwah
190,allah ya baki shekaru masu albarka wannan shine take nuna cewa kai mumina ceh
191,masha allah allah kara daidaitawa
192,a ci gaba d shiri yanda yk mal aminu  shiri yana kyau wlh haka ake so
193,shi adalcin yakeyi ai
194,allah sarki baba  allah ya jiqan shi
195,allah yakawo karshen wannan zanga zanga dan darajar annabi
196,hajiya you dry chill who  like say ba azumi akeyiba    allah bada lada
197,allah yaba kasar mu nigeria nasar yasa kuma ahmad musa ne zai fara saka kwallon a raga ameem
198,kai allah ya banmu a kasarnan   duk xapin kebir kaga wani abun ka dara
199,wai dama kinada masu sonki haka
200,mu gyara zukatan mu  muso junan mu mu dena raina namu mu dena fifita nasu  muji sune bayin mu da zamu yi musu mu amala me kyau kaga babu jin tsoro kai magan agaban uban kowa da yaren ka shine cin
201,muna goyan bayanka honourable
202,wow nice picture hajiya rahama
203,kash laifin dadi karewa   allah ya karo basira
204,gwamnan da babu kamar sa  we love him
205,tabbas wan nan magana an gaskata ta
206,allah ya tsare kasata nigeria  ya kuma shiga tsakaninmu da yen ta adda
207,shawara me kyau anan  indae kana da ya ko kanwa shawara me kyau ka nemi fans din  arsenal ka hadasu  sunfi kowa hakuri
208,kisha kuruminki munatare dake babbar yarinya
209,shawara  kada abaiwa ko wace jaha komi harsai in ta cancanta kuma fannin wannan cutar ta  covid19   itakuma  fg  sutaimakawa yan kasa wajen rage radadin zaman gida ko ba a ba kowa komiba asan yad
210,allahu akbar allah jiqan musulmi ya musu rahama gaba dayan su muma in tamu tazo mu cika da imani
211,hbd rahma allah ya albarkashi rayuwarki allah yakaro shekaru masu albarka yadda kike taimakawa allah ya taima keki
212,to allah ya dawo mana da ita a nigeria
213,allah yataemaki shugaba mae adalci
214,allah yajikan musulmi da rahama
215,ga wacce tafiki kudi da kyau fa   yanxu yazakiyi kenan
216,eh toh a iya cewa ta biya mana tinda duka ya aurar d yayansa mana toh meyarage mai
217,alhamdulillah masha allah bbchausa     muna godiya
218,amin yah allah   las las mahmud dai jamila zai aura      lolz allah yasanya alkairi amin
219,ameeeeen ya rabbi      we really miss u
220,ameen ya rabb     all the best hajjaju
221,wanna maganan gaskiyane    hakayake
222,ameen summah ameen masha allah
223,allah dai yakawo mana karshen wannan lockdown
224,masha allah allah ya kara basira da fahimta
225,madallah   abu yayi daidai
226,best actress aunty na rahama
227,ya allah ka nuna min ranar da zan bar nigeria har abada amman ba ta hanyar mutuwa ba
228,allah ya cika nufi alfarmar manzon allah
229,allah yaji kansa da rahama  nigeria    kasata kullum dai abun kara lalace yake allah kayi mana katangar karfe da mutanen nan
230,an gaida ku
231,innalillahi wa inna illaihir raji un ubangiji allah muntuba allah ka gafarta mana ka kawo mana dauki daga wannan annobar cutur ya rabbil alamin
232,ina ma aba baba ganduje
233,hahaha ai ranarda naga dubarudu na sha dariya yadda kasan real story wlhy sis rahama har da irin yar tsallen nan eh
234,domin yasan daraja da albarkar da jihar take samu saboda zaman su
235,mudai allah yakara rufamana asire duniya da lahira ameeen allah ya kawo muna karshen duk wannan matselulin
236,gaskiya munajindadin kasancewa tare dashii allah dai yabashii nidan kwana mai albarka da lfy
237,allah ya sa aljannah ce makomarsa ameen
238,allah ya jikansa da rahma    ina jajanta wa daukacin al ummar nijar
239,one man army                    soja kai ka ai gayyane
240,noma tushen arziki hausa proverb
241,idan akwai wanda basu cancan taba toh ya kamata ai musu uzuri dan an shiga nex level amm mude mal nasir tabbas ya cancanta dan shine dai dai da mutanan kaduna
242,innalillahi wa inna ilaihi raji un  allah yakaremu da kariyarsa
243,ameen thumma ameen wai kuma gsky take fada ne
244,ya allah ka tausaya manah
245,oh oh allah sannunku da aiki bbc
246,gsky ne my super star
247,yau bazzen manjo talakawa suna murna da samunka a duniya   alherin allah shi kaima ka baba sarkin tausayin talaka
248,wannan matsalan rashin tsaro da muke fama da ita allah ya kawo mana karshan ta
249,toh   yaya dan kwambo ne ya zama alhaji what is the reason behind   allah kara maka lfy  basira da nisan kwana
250,allah ya kaimu lahadi lafiya muna yiwa allah biyayya muna yiwa shugaba da a salla till sunday
251,barka da juma a
252,munsha ruwa lfy a unguwar kawo lambu dake karamar hukumar nassarawa lag agarin muna godiya
253,barka ranka ya dade
254,gaskiya wannan karon su baba anyi abin kai
255,an gaisheka baba
256,ubangiji allah ya jikan sarkin motar sardauna  albarkacin watan ramadan
257,allah ka gafartama sarkin zazzau don tsarkin zatinka
258,ameen ya allah babban yaya
259,hahaha       za asha mamaki kam da cabals  allah yasa musauka lafiya a jirgin next level
260,fatan alkhairi duk da dai ba dan africa ya qirqiri fasahar ba
261,allah zai kawu mana karshin ta in sha allahu rabi
262,congratulation kannywood king
263,toh fah wata sabowa allah ya kyauta
264,zo ga masoyi
265,allah ya tsayyaba yar uwa
266,wannan haka yake babu shakka  sun san darajar soyayya kuma suna girmama so  suna yinshi da gaskiya  amma matan nigeria wallahi dan wani manufarsu ta daban suke sonka  kuma basa darraja so  a tun
267,gsky kin sheka kyau
268,ko wanga lokaci insha allah zamu sake lallasa real madrid
269,good work allah ya biya
270,barka da sallah
271,ni wallahi yanzu nake gani abun ya ban dariya sosai      dan allah ka cire
272,muna godiya bbc hausa
273,allah yasa mufi karfin zuciyoyin mu
274,gaskiya kam  mukam alhamdulillah  anayi muna jin dadi
275,zuwa ganin masoyiyata
276,sai kallo gimbiya
277,dan allah my dear brothers and sisters musan meza muringa fadama junan mu musulmai please
278,tell       world or silent   kuce allah yadawo da shi lafiya just
279,a wanke da kyau fa
280,ya allah ka kawo mana dauki    muna cikin mawiyachin hali
281,this is how it should be actually  allah ya tabbatar da alkahiri  kuma boye boyen ku out of the blue muga sanarwar daurin aure
282,safe trip didi  a sayomun awarar gwangwani
283,wasan ya fara dadi
284,masha allah  jinjina ga za a urin gwamnanmu na jihar wuhan a najeriya  babu shakka wannan abu da yayi abune mai kyau kuma kamata yayi ache sauran  an uwansa gwamnoni su koya daga gareshi   acigab
285,hahahaha  kai allah kyautawa shugaban kasar nn namu
286,allah ya kyauta
287,kai jamaa allah yasa mu dace
288,ni dan jam iyar apc ne  kuma inna fatan allah ya kawomana sauki a duk lamuranmu na yau da kunlun amin     dangane da bayanan da me girma tsohon shugaban kasa ebele jonathan yayi                 h
289,happy independence fati kinyi kyau sosai
290,kinyi kyau shegiya
291,allah ya kawo mana karshin wannan annoba
292,nifa role dinta na burgeni  sbd wanda nasani take soyayya haka  amman nasan a karshe zaiyi biyu babu
293,wllh ina sonki    dan allah ki aureni   please please  dan ni zan baki kulawa  fiye da saurayin ki   please come marry me
294,allah ya kara lafiya da imani daddy     ina maka fatan alkhairi
295,kayyasa     malam kasan allah har da fatiha murnar da muke     nace ba  shin ita baliga mace hwa ko su an cire masu sbd lalurar dake damunsu ta rashin sana a
296,hakan yadace ayimasa good job governor of kano
297,masha allah   allah yakaimu darai da lafiya na so
298,wallahi allah baya barin zalinci kuma baya goyon bayan a yi zalunci ubangiji da ya halicce mu baki daya mai iya canza komai neh kafin nan da ranan asabar allah kasabanmana abin dayafi alkhairi at
299,madallah da wannan labari
300,to allah yasa hakane mafi alkairi agareshi  ameen
301,wannan abun yabawane  gwamna ganduje  kada kaji tsoron duk wata kungiya ko wadansu munafukkai  ka aiwatar da umurnin allah
302,allah yasa muna daga cikin mahajjata
303,kowa da ra ayinsa mukam wllh mumfi ra ayin fara saidai bawai fara qalll ba   chocolate wankan tarwada
304,allah ysama dai iya sandar aka sace
305,shin yasan halinda nigeria take chiki kuwa musanman yankin arewa idan yasani wani irin mataki yake dauka musanman akan security da economic allah ya bamu zaman lpy
306,ansha kyau diva
307,allahu akbar lokaci kainan allah yasa mudace
308,aunty rahama ina wuni
309,barka da sallah my queen
310,amma dai azumin nan bai ta6a ki ba meye sirrin ne
311,barka da safiya ma mentor dafatan kintashi lpy
312,insha allahu an daina daka yau
313,sarkin mu limamin mu abun alfaharin mu abun fita kunyar mu
314,zabin allah shine zabi bana mutum bah
315,allah sa haka shine mafi alheri ga talaka wan nigeria    allah bawa buhari ikon yin mulki cikin adalci da koshin lafiya
316,hakane kuwa  muna godiya
317,in mutum ya biyar da it s ta hanya ta kwarai ya huta
318,allah ya taimaka govnan jaharmu
319,mungode da wannan kara antoine muna fatan xaka tashi daga griezman kadawo garzali
320,ya allah ka sama ma                 yan najeriya mafita masu neman hanyar tsira
321,kin hadu yau
322,thank you sister  allah kara daukaka
323,saw ya nima kakaini matsayin da za abude min wanan daki mai albarka nashiga even for some seconds ya allah ameen yazuljalalu wal ikiram
324,innalillahi wa inna ilaihi raji un    ya allah ka kawo mana qarshen wannan annoba  allah yabashi lafiya
325,wslm rahma ina miki fatan tuba sannan da gyarawa allah ya yafemiki duk kurakurenki
326,amin amin  oga wllhy kana baltsa wuta
327,allah yakara mana son annabi muhammadu  s a w
328,kowa yakanyi yabo bisa ga wanda ya sani  na sani
329,zan ce masa ya yi wa allah ya taimaka ya kar i ragowar albashin sa sai ya sauka wani ya tuka motar
330,abu yai daidai abu yayi kyau
331,allah yagafartamasa mukuma yasa mucika da imani
332,ya salam allah shikyauta   allah yakiyaye mu
333,nima aunty ina son yin films xakiyi man hanya
334,ina son harkan nan wlh
335,toh mudai zamuce all the very best fatyma
336,mati a zazzau y tabbatar min dake din ta musamman ce of course nima ga nawa act din 0035163982 stanbicibtc bank ibrahim adam
337,good mah sister rariyah hahahaha
338,toh fa yayi daidai acigaba aiki  muna mu kallo
339,allah yasa wannan yaza sanadin shiriyar ki damu ba ki daya  allah yasa kar shedan ya rinjaye ki kan abubuwan da yan uwa musul mai suke ta fadi  duk yana daga cikin jarabaear da allah yake miki  k
340,hhhh amazing pics  su ahurika ansha kyau
341,inayin pressido sosai   kawai ya gyara halinshi sumayya tayi sanadin shiriyan shi  amma mahmud be dace da soyyayan sumayya ba ko kadan  bashida alkawari  mal aminu saira u are doing very well thi
342,ina tayaku farin ciki
343,i love u more for that sef inason mutum that he has respect for his religion and our noble prophet s a w da kuma idan aka fada mishi mistakes nashi ya karba hanu biu biu may allah s w t forgive u
344,ali baba agama lafiya
345,bai hau ba har yanxu tukun amma yananan zuwa insha allah
346,hake ne za mu fara duba matsalolin yan arewa da kuma rage farashin masarufai da kuma tsaro da wutan lantarki a kuma du ba makarantu da asibitoci allah ya taimake mu yay mana jagora da nasara amin
347,allah sarki madam sai yau we missed uh alot
348,allah ybshi lpia mukuma ya saukemana
349,allah y tsaremu da mugunji da mugun gani    i pass in fis
350,gaskiya ne tun da maza sun kasa allah basu nasara
351,abin yayi kyau matuka
352,innalillahi wa inna ilaihr raji un allah yasa amusu hukunci daidai da abinda suka aikata
353,one with god is majority     allah yakara daukaka
354,fear god fa   kada kiyarda kigamu da allah a hakan
355,allah yajikan musulmai  sukuma allah yatonamusu asiri
356,tir kashi allah ya kyauta gaba gaskiya ta zama qari
357,moms na duku tsohon ciniki kowa yazoshi dunia kai ya tarar
358,allah ya sa ku kamashi  insha kallo
359,ya kyauta hakan zai rage hadu rurruka da ake samu
360,alhamdulillah masha allah haka akeso ai fitina bata da amfani ai  allah yasa mufi karfin zukatanmu ameen
361,inna son twitter saboda kowa comment din hankali yake sabanin facebook
362,allah yasa da rabona a ciki ameen
363,allah ya gafartawa  majidadin kano da iyayenmu baki daya
364,kiwa  allah godiya  da baa corona ce takamaki ba
365,allah ya kara miki basira  allah ya tsareki da sherrin makiya
366,allah ya jikansu da rahama  allah tarwatsa masu taimakawa yan ta adda akan wannan kashe kashe na wayenda basuji ba basu gani ba
367,ya salam     wallahi tallahi idan ba ayi hattara ba  tareda daukar matakin kwakkwara akan tsaron nigeria ba  wallahi sai marayu sunfi yawa a kasar  allah ubangiji ya iya muna da iyawarsa yayi mun
368,allah ya nuna mana karshen wan nan abu
369,wannan dai dai ne domin a halin yanzu ba a san me zai biyo baya ba  fatan mu dai ya bamu zaman lafiya
370,nida radio akwai amana sosai up freedom radio arewa radio   kano state nigeria    allah ya kara basira amin
371,wallahi yau farin ciki fal cikina
372,alhamdulillahi gaskiya  ana samu  sannan ina jinjina ga jajirtattun sojojin kasarmu  allah yakara basu nasara a yakin dasukeyi da ayan ta adda amin  sannan ina me kira ga gwamnati data basu goyon
373,kada ban sanshiba amma nasan aikinshi allah ya bashi ladan abunda yayi kuma mutumne mai basira
374,allah ybaki ikon yin wup dashi
375,ubangiji allah ya yi masa rahma ya kyauta namu karshen
376,bamu da abin da zamu cewa sai san barka domin ko ba komai ya nuna kishinsa ga addininsa yanda ya jikanmu shima allah ya jikansa a ranar da ruwa da inuwa babu mai samunsu sai dan gata  sannan dan
377,allah ya baki ikon veto su cikin koshin lfy   ameen
378,allah yakawo me gda lpy
379,ni tsayin ne kawai yayi min
380,allah ya bada zaman lafiya  bbc kutambaya mun wanda yace zai kashe kansa shin ya fasa ne
381,baba kasan irin a halin da talakawa suke ciki kuwa karki manta dukkan wani hakkin na dn nigeria yana kanka kuma dn allah yaushe ne zaka sauke wannan hakkin sbd ni wllh masoyinkane kuma wanda ba z
382,allah yasa hakan alheri ga mutanen nigeria
383,na tsaya ga annabi muhammad  mamman shata s voice
384,sai dai a ingantashi bazai rushi ba  alfarman annabi  s a w  duk maison ya rushi bazai samu nasara insha allah
385,muhammad balalaaaaaa sashen hausa na bbc daga yawunde a jamhuriyar kamaru  walahi na zata wani dan lukuti ne sai na ganshi ashe duk mune  allah yayi maka albarka
386,kai jama a mudai anayi muna jin dadi
387,happy birthday to abdallah    allah ya raya ka cikin amince
388,abun babu dadi   ya allah ka kawo mana agaji
389,ranka ya dadai sarki
390,wanga kwalliya tayi antashi kan mu kuma koza aimana lamuni da mu biya tukwicin wanga kwalliyas
391,ciki da raino shima yayi kam   fantastic 3 guys    allah ya kara basira  ina son directing dinka saboda akwai nisadi a ciki
392,innalillahi wa innalillahi rajiuun   innalillahi wa innalillahi rajiuun  rahma kiji tsoron allah  all those people advising you wallahi suna sonki ne da rahamar allah  wallahi ina tausaya maki ac
393,masha allah yakara basira mai ampani kunayi muna gani munajin dadi
394,i miss my mommy may allah her soul rest peace  albarkacin wannan watan ameen
395,allah ya shiryeka tsoho
396,tab   allah ya kiyaye hanya wanda allah y kaddara rayuwarsa ze rayu
397,allah sarki mahaifiya    na tuna wata rana muna magana da wata take tambayata nakau san mahaifiyata nace a a gaskiya ban iya tunata sbd ina da shekara 2 ne ta rasu sai cewa tayi gaskiya ansha dak
398,gaskiya abun ya so ya dan bada rudanin hankali saide bamusan nufin directer ba    amma fatan nasara malam aminu saira
399,wannan gaskiya ne jos  mourinho  muna tare dakai
400,mashaallah ya yi  o ari da hausar shi     hirar ta yi da i  interesting fellow
