id,ha_text,ig_text,ha_ig_text
51,rahama kuyi ma allah ku saki soc season 3  i ve been waiting wallah,o biliwo o biliwo jesu apoburu nelu obe onye mmeri,nsogbu ad gh   omego n   nwa an  kita  nke ah  agbag   niru niru k any  n eje
52,a sakkwato    43 c     allah ya kawo muna sauki,nsogbu ad gh   omego n   nwa an  kita  nke ah  agbag   niru niru k any  n eje,m  asa  gb  makata    so mma
53,basuga komaiba           so happy,m  asa  gb  makata    so mma,wow        chidozie      ji si ike
54,munyafe masa saboda shugaba ne shi mai girma allah yasa su cigaba da rikemana kasarmu najeriya allah ya daga najeriya,wow        chidozie      ji si ike,jehovah idi egwu jehovah idi egwu  praise  farandmode
55,ilimi allah ya sakawa mallam,jehovah idi egwu jehovah idi egwu  praise  farandmode,ekele d r  g  chukwuabiama     b ara egbu m  gbuo onwe ya  chineke  m  ntak r  daal  oo
56,ameen thummer ameen my super hero  aminusaira yanxun kam ankammala azumi lfy allah yabamu ldan ibadunmu munajiran films din  labarina inamaka fatan alkhairi,ekele d r  g  chukwuabiama     b ara egbu m  gbuo onwe ya  chineke  m  ntak r  daal  oo,nnem chukwu go zie g  na nk  i kw r
57,gaskiya jam iyyar pdp tana da tunani mai kyau,nnem chukwu go zie g  na nk  i kw r,igbo medley by    inspirationalhour with umu chineke eee
58,dariyarki qara bani dariya take     murmushinki qara sani murmushi yake,igbo medley by    inspirationalhour with umu chineke eee,nwaeze adighi efu n mba
59,ya yi daidai bai fadi karyaba sabi da ronaldo yakai dan kollon da za a koyi,nwaeze adighi efu n mba,haew god  ezigbo nwanyi
60,lefinki iyawa queen,haew god  ezigbo nwanyi,ar r    ewo   jee nke  ma  gbu  j
61,ga tukkan alamu basakkwata ce hahahahahhaha na dade ina neman amsar wannan tambayan sai yau  good job dorayi,ar r    ewo   jee nke  ma  gbu  j,hbd onyeoma  chukwu gozie gi   more hits  birikwa blessings lagos state house of
62,ameen sum ameeeen,hbd onyeoma  chukwu gozie gi   more hits  birikwa blessings lagos state house of,singing  onye neme mma lekwe ikperem nala      imela  africanpraise
63,yaci ribar ciniki,singing  onye neme mma lekwe ikperem nala      imela  africanpraise,happy birthday nne   chukwu gozie gi ofuma
64,malan a kullum salon sa da tsarin sa  yana zo mana da sabbin abubuwa  tabbas hausa film ba iya labarin soyayya ya tsaya ba  suna da gudummuwar da zasu iya badawa wajan matsalar tsaron kasar mu  a,happy birthday nne   chukwu gozie gi ofuma,happy birthday chinecherem  okenwa  chukwu goziwerem gi    aka na emebe akwa umu nwoke na uzo opuruiche  golibe
65,episode yayi kyau amma zanso naga ferouskhan ya bayyana kodan ya koyawa mahmud hankali,happy birthday chinecherem  okenwa  chukwu goziwerem gi    aka na emebe akwa umu nwoke na uzo opuruiche  golibe,nsogbu adighi  kachifo
66,allah yakawo mana dauke a jahata katsina da kasarmu saboda ma aiki sallallahu alaehi wassallam,nsogbu adighi  kachifo,ekele na nsopuru diri gi chiokike maka ndu i nyere anyi  ahu ike na amara     riwo otito
67,a aa   amma munaso muje,ekele na nsopuru diri gi chiokike maka ndu i nyere anyi  ahu ike na amara     riwo otito,kedu ka   mere ezigbo eyin m
68,allah ya barmu tare,kedu ka   mere ezigbo eyin m,otua ka chineke anyi di eh agidigba eh eh eh   waciservice1  hbdrevgodwinabba
69,ayya bruh  allahu ya zaba maka mafi alheri kaima  she dropped 5 laughing smiley for me   we done,otua ka chineke anyi di eh agidigba eh eh eh   waciservice1  hbdrevgodwinabba,t t   ma nwanne
70,subhanallah allah yakawomuna karshen wannan annobar akasarmu bakidaya,t t   ma nwanne,jesus igwe ezeoha
71,ma na kaza kenan soyayya,jesus igwe ezeoha,i b  chukwu   b gh  mmad  you are god you re not man  i b  chukwu   b gh  mmad  i b  chukwu   b gh  mmad  i b  chukwu   b gh  mmad  na you be god almighty god you no be man oh you no be man oh
72,alhmdlh muyi farin ciki kamar yadda kuka kammala wannan shiri mae dogon xango lpy allah yabamu ikon kala lpy allah yasa muna cikin masu rayuwa kuma munawa kowa da yabada gudun muwa acikin wannan,i b  chukwu   b gh  mmad  you are god you re not man  i b  chukwu   b gh  mmad  i b  chukwu   b gh  mmad  i b  chukwu   b gh  mmad  na you be god almighty god you no be man oh you no be man oh,nne i s r  ike o
73,hhhh apoki kafito wlh zamu take maka  batada matsala bata iya soba inta manne ma shikenan     abinci kyau zamuna ci a  sadauhome     shagali,nne i s r  ike o,chukwu oma onyeoma na   chukwu oma onyeoma na   chukwu oma chobioma    praising god in a special
74,kuyi subscribing na youtube channel namu mai suna ash multimedia domin sauraron littatafan hausa novels namu kala kala  mun gode,chukwu oma onyeoma na   chukwu oma onyeoma na   chukwu oma chobioma    praising god in a special,igbo amaka dimkpa anagh  a ka nk  n egwu   ma a gb   egwu ichaka
75,to allah yasa su zama mafi alkhari ga yan qasa,igbo amaka dimkpa anagh  a ka nk  n egwu   ma a gb   egwu ichaka,biri kam biri egbe bere ugo bere  nke si ibeya ebele  nkw  kwa ya
76,allah ya biya cin kai,biri kam biri egbe bere ugo bere  nke si ibeya ebele  nkw  kwa ya,oga nd  oga
77,yaudagobe akoi bambanci da yawa ba zai misaltu ba  shugabannin baya basu dauki komi abakin komi ba  sunayi ne domin suga sun kai kasar su ga tudun mun tsira suna yi ne domin suga sun kyautata ma,oga nd  oga,auntie ngo i like ya dress  omara ezigbo mma
78,allah ya jikan mai martaba sarkin zazzau  ameen,auntie ngo i like ya dress  omara ezigbo mma,happy birthday mazi iga adi ka echi makana echi adi agwu agwu  onyenweanyi gozie gi
79,allah ya gafarta mata yasa ta huta ameen,happy birthday mazi iga adi ka echi makana echi adi agwu agwu  onyenweanyi gozie gi,ndewo nwoke  ma
80,yaa allah kabawa abba gida gida nasara a kotun  oli don annabi muhammadu,ndewo nwoke  ma,nd  nke m
81,allah yakarawa annabi daraja,nd  nke m,okonkwo in things fall apart   ka chukwu okike abiama chekwa gi  nye gi ahu ike n ogologo ndu
82,the international  allah yaqara ka king,okonkwo in things fall apart   ka chukwu okike abiama chekwa gi  nye gi ahu ike n ogologo ndu,ezenkwobi  ny  spare parts na agbani
83,gaskiya ne malam aminu allah ya bada nasara,ezenkwobi  ny  spare parts na agbani,ekele dibia gworo akidi  ya agwota ozo
84,masha allah allah ya kawo mana karshen wannan annoba yasa wannan shine cikakken maganin covid 1   9   din ameen,ekele dibia gworo akidi  ya agwota ozo,onye eze   udo di ri gi onye oma  more grace as you reach out to the masses in imo state  remember me kwanu e don tey na
85,file    allah yakawo mana sako,onye eze   udo di ri gi onye oma  more grace as you reach out to the masses in imo state  remember me kwanu e don tey na,biko ndi obodoukwu nwere umu asa di sharp bonario tell her pls
86,noma toshen arziki or noma rufin asiri,biko ndi obodoukwu nwere umu asa di sharp bonario tell her pls,even contact his suppliers in china  chukwu mekwalu nd  ya ebele
87,allah ubangiji ya saka masa tun anan duniya,even contact his suppliers in china  chukwu mekwalu nd  ya ebele,time for our  thanksgiving dance and procession  nagode jesu ibu chukwu onye dinma oluwa etobi      thanksgivingsunday  talagos
88,allah ya kawo muna karshen yan bindiga a duniya baki dai ba  nigeriya ba kenan hum,time for our  thanksgiving dance and procession  nagode jesu ibu chukwu onye dinma oluwa etobi      thanksgivingsunday  talagos,lmao  chukwu gba gi ume
89,wlhy kinfi kyau dakika rufe jikinki gaba daya  allah yasa kidore da haka,lmao  chukwu gba gi ume,np chukwu agozi go gi   ft lucy q       dreamlounge with    tgif  turnup
90,muna maka barka dazuwa    tabbayata itace mai yasa kake san zuwa gurin yan siyasa na kasa,np chukwu agozi go gi   ft lucy q       dreamlounge with    tgif  turnup,it s the  thefirstflight2theweekend w   x  np chukwu agozi di gi ft
91,allah yabasu zaman lfy aammenn kuma allah yanuna mna na yanbaya lfy aammenn  kamarmu,it s the  thefirstflight2theweekend w   x  np chukwu agozi di gi ft,odogwu na agha dike na agha nara ekele odogwu na agha dike na agha nara ekele olisa kere uwa chukwu na eme nma agam buru hallelujah eburu bu gara jehovah  mercyconference2021
92,ai basa cin hanci gobnatin masu gaskiya ce,odogwu na agha dike na agha nara ekele odogwu na agha dike na agha nara ekele olisa kere uwa chukwu na eme nma agam buru hallelujah eburu bu gara jehovah  mercyconference2021,good morning    ndi n anyi    bia ka anyi rie cc
93,eh ba matsala xan iya aurenta sabida ba harum bane,good morning    ndi n anyi    bia ka anyi rie cc,jesus  aka m d  elu e jesus  ikpere m di na  l
94,may allah protect us  ya jikan musulmi,jesus  aka m d  elu e jesus  ikpere m di na  l,nwa na asu igbo  obi dim uto  ada kedu
95,haka tace wai ita ma abin tausayi ce kowa ma abin tausayi ne wajen allah muna rokon allah yaganar damu wajen kaucewa daga rodanin wannan duniya,nwa na asu igbo  obi dim uto  ada kedu,nna  jide ka iji
96,tare kuka yi kenan  masha allah,nna  jide ka iji,ogssian nwanne  udo diri gi
97,gaskia film dinnan zai kyau amman naso ace dani aciki da anga over acting,ogssian nwanne  udo diri gi,ututu oma nna o  kedu
98,yes why not you kawai kiyi aurenki ki rufama kanki asiri,ututu oma nna o  kedu,thank you jesus  onye nwe anyi imela    goodmorningenugu  goodmorningenugu2018
99,kedai akwai son abin kwarai,thank you jesus  onye nwe anyi imela    goodmorningenugu  goodmorningenugu2018,chai    i na agba mbo ofuma  jisie ike
100,increase the volume sir  insha allah sai kukanmu yakai sai sun dauki matakai,chai    i na agba mbo ofuma  jisie ike,igbo ndi oma  ndewonu  bia soro noria na oge  obinwanne  ubochim cc
101,allah yana tare dakai bulama,igbo ndi oma  ndewonu  bia soro noria na oge  obinwanne  ubochim cc,aka jihova na eme mma
102,yes hkn malam aminu  so zamu hada karfi da karfe da kuma rokon allah ya kawo mana karshen end boko haram banditry end corruption in     jama a gaaa zabe n 2023 yana tunkaro mu mu kula da kanmu da,aka jihova na eme mma,nne m oh  ego igwe na adikwanu mma na aru
103,allah yakamana saukin rayuwa,nne m oh  ego igwe na adikwanu mma na aru,nwanne m nwoke biko soro m bunyite umu nwanyi ndi muru umu elu    e bidoro m inyere ha aka ndi nne nwanyi no n ulo  ndi nne nwanyi anuro di wee mmuo umu na ndi nne nwanyi na eme bizzne
104,in allah ya yadda babu abun da zai samu qaura  su ma sauran za su warke da ikon allah,nwanne m nwoke biko soro m bunyite umu nwanyi ndi muru umu elu    e bidoro m inyere ha aka ndi nne nwanyi no n ulo  ndi nne nwanyi anuro di wee mmuo umu na ndi nne nwanyi na eme bizzne,kpo kpo di kpo      waybackwednesday on  bitc w    oldskool
105,allah ya gafarta musu yasa aljannatul firdaus itace makoma a garesu  sannan kuma shugabanni kuji tsoron allah wallahi sai allah ya tambayeku akan wannan nauyin daya dora muku,kpo kpo di kpo      waybackwednesday on  bitc w    oldskool,daalu o  ejima di mma
106,in sha aallah na kano ma zamu lashe,daalu o  ejima di mma,ekene dili chukwu  n  h  na ihe omere gi
107,allah yah kwo mijin aure,ekene dili chukwu  n  h  na ihe omere gi,nwer  nsogbu ag  nwa
108,allah yai mana maganin wannan annobar,nwer  nsogbu ag  nwa,afurum gi na anya  nwanyi oma
109,hmhh  allah ya kiyaye,afurum gi na anya  nwanyi oma,onye di kagi    possibilityvoices  20ppptv
110,life is full of karma which i don t wish you fall victim  my prayers and hopes for you are for a second ki fahimci abinda mutane ke qoqarin nuna miki even though dayawa aren t following the islam,onye di kagi    possibilityvoices  20ppptv,chioma chukwu alugo olu na isi gi     ekenediri chukwu
111,ameen thumma ameen   intamu tazo allah yasa mucika da imani,chioma chukwu alugo olu na isi gi     ekenediri chukwu,nwanne     chineke dube gi  ihe oma kpoo gi ihu  onye nwe anyi gozie gi
112,wow hajiya u look like sarauniya fa,nwanne     chineke dube gi  ihe oma kpoo gi ihu  onye nwe anyi gozie gi,adaugochukwu  asa peke peke  nwa di okay  baby la melanin   egovin nwa    nwunye di ya   kiri kata nwa  achala ugo  ego oyibo  ajibo nwa    wcw
113,i love everything about d movie  very educated  duniyata yau ta dawo sabuwa  kai ka shigo ka yoh aiki dole inyi maka sakayya,adaugochukwu  asa peke peke  nwa di okay  baby la melanin   egovin nwa    nwunye di ya   kiri kata nwa  achala ugo  ego oyibo  ajibo nwa    wcw,urbandrive  w  x  onye eze 20    terrifictuesday   94 5
114,allah ya saka masu da gidan aljannah,urbandrive  w  x  onye eze 20    terrifictuesday   94 5,ighotago   nwanba i di sharp
115,masha allah  na taya ki murna hajiya  allah   ya ci gaba da yi maki albarka da kariya daga hannun makiyinki  ameen ya rabbi,ighotago   nwanba i di sharp,np chukwu agozigo gi ontop  flenjo with
116,nidai nayi kamen  yar  ki ta farko sis  insha allahu ko aljanna a vip kike sis  one love,np chukwu agozigo gi ontop  flenjo with,brother nno  daalu shinne ezigbo nwa nne m
117,allah ubangiji yajikansu da rahama allah ya kyauta gaba,brother nno  daalu shinne ezigbo nwa nne m,adi m very proud to be nwa afo igbo
118,anayi munajin dadin,adi m very proud to be nwa afo igbo,puta nu uzo ndi igbo na bia ndi igbo mechiri  z  na twitterng taa    ndi igbo amaka      igbotwittercommunity
119,to ai shikenan nidai nayi mubaya a,puta nu uzo ndi igbo na bia ndi igbo mechiri  z  na twitterng taa    ndi igbo amaka      igbotwittercommunity,np ogologo ndu       themiddayexpress with mixby  inspiremytuesday  happynewyear
120,kina matukar birgu  ni fati,np ogologo ndu       themiddayexpress with mixby  inspiremytuesday  happynewyear,chukwu g zie gi     hugs
121,allah ya shiga tsakaninmu dashi    ai sabro kwazaba ne,chukwu g zie gi     hugs,love gi di kwa egwu
122,oga yakasai barka da yamma ina maka fatan alheri allah ya taimaka,love gi di kwa egwu,NaN
123,wai wannan wace irin kasane                 kai  allah kyauta,NaN,nd  church kwenu
124,a nigeria komai zai iya faru ae  sabo da talakawa suna shan wahala kuma gashi likitoci suna son zuwa yajin aiki  ya allah ka gyara mana shuwaga ban nin mu,nd  church kwenu,nsogbu adiro  b a ka  gba lu form
125,allah yataimaka allah yasa albarka acikin nemanku,nsogbu adiro  b a ka  gba lu form,d  mma
126,allah yana ji kuma yana gani,d  mma,daal  nwanne mmad
127,aunty rahama ansha keyau,daal  nwanne mmad,hmmm   asa nwa tomato jos enenebe eje  l  enenebe ukwu egbuo ewu mummyy ak  mmiri igwe udara nmicha ukwu nwe nti  ma  ma asa ahu olu gbajie boys
128,rahama and di ja beautiful combo,hmmm   asa nwa tomato jos enenebe eje  l  enenebe ukwu egbuo ewu mummyy ak  mmiri igwe udara nmicha ukwu nwe nti  ma  ma asa ahu olu gbajie boys,agu imara mma nwoke  ma n uche nkem  agam asi  ka ijiri nke abuo n ihi na mkpuru ihu gi  putara nke oma na ya bu akwukwo onyogo gi  na ezi ya  ha lekiri chaa okpurokpu anya gi  na ogologo imi gi
129,wayyo allahumma ameen oga sir,agu imara mma nwoke  ma n uche nkem  agam asi  ka ijiri nke abuo n ihi na mkpuru ihu gi  putara nke oma na ya bu akwukwo onyogo gi  na ezi ya  ha lekiri chaa okpurokpu anya gi  na ogologo imi gi,allah yakamana saukin rayuwa
130,mai atamfa  sannu kyakyawa,mbaise nwere mmadu,in allah ya yadda babu abun da zai samu qaura  su ma sauran za su warke da ikon allah
131,allah ya maimai ta mana tare da lafiya   da zaman lafiya,daal   nye nze na nsogha chi nke i soghachi m ya gazie sir   d,allah ya gafarta musu yasa aljannatul firdaus itace makoma a garesu  sannan kuma shugabanni kuji tsoron allah wallahi sai allah ya tambayeku akan wannan nauyin daya dora muku
132,alhamdulillah  bichi emirate muna tare da sarki aminu ado bayero  allah yai mana jagora,mana nwanne   nwere ebe   s  kw  nke b  eziokwu  agbakwanu aka an  nwany     b r  na   nwere aka  r   mara kwa ihe   ch r  iji nd  ya me  any  niile ga egwodo ya     las las we g,in sha aallah na kano ma zamu lashe
133,no sbd ni allah yadubeni da idanun rahma yaturomin ke,gharvest   onyedikagi  ekene diri gi  onyene mema onyedikagi  onye diri gi onye na nwogworia,allah yah kwo mijin aure
134,zakarar da allah ya nufa da chara koh ana haaa maza haaa mata sai yayi,hapu nke plaster nwanne    mmiri ya bu ndu,allah yai mana maganin wannan annobar
135,ba a canzawa tuwo suna  har gobe kwankwaso mae gidanka ne eheeee,aka aka ya aka jehovah ne eme mma olu ebube ya isi iyi nke du   worship  waciservice,hmhh  allah ya kiyaye
136,nakan qosa ya gama rahoto dan inji ya kira sunansa wallahi    one of my best from childhood,dalu nwannem    e gi di oooo,life is full of karma which i don t wish you fall victim  my prayers and hopes for you are for a second ki fahimci abinda mutane ke qoqarin nuna miki even though dayawa aren t following the islam
137,na so jin kirarin da fadawa zasu masa,jesus onye eme eluigwe nkea ato  negodu love,ameen thumma ameen   intamu tazo allah yasa mucika da imani
138,maa sha allah  allah ya idar miki da nufinki na alkhairi,otutu oma nwa ada,wow hajiya u look like sarauniya fa
139,zulum allah yasaka maka da alkhairi   naji dadi da fadar gaskiya da kayi  hakika sai de suki gaskiya tunda wasu daga cikinsu dasu ake cutar da al umma kasarmu,ndo nna o ga di mma,i love everything about d movie  very educated  duniyata yau ta dawo sabuwa  kai ka shigo ka yoh aiki dole inyi maka sakayya
140,allahu akbar  allahu akbar   allahu akbar    ina mai mika sakon ta aziyya ga ma mallakin wannan dattijon kunkuru  a hannu daya kuma ina mai mika sakon yabo da jin jina ga likitan da yayi masa aik,ututu oma ndi be anyi   ngwa bia gote cake di uto n emene   kpoo ma o bu zitere anyi ozi na 07081603052   daalunu,allah ya saka masu da gidan aljannah
141,washa kintashi lfy,nsogbu adiro daalu nne,masha allah  na taya ki murna hajiya  allah   ya ci gaba da yi maki albarka da kariya daga hannun makiyinki  ameen ya rabbi
142,masha allah    allah ya bashi abunda yafi sarautar kano argue with ur keyboard,uncle    ezigbote nwa afo,nidai nayi kamen  yar  ki ta farko sis  insha allahu ko aljanna a vip kike sis  one love
143,ba wanda yasan wannan hanyan sai allah   so just keep praying,ekenem gi nwanne,allah ubangiji yajikansu da rahama allah ya kyauta gaba
